random_state,beta_E,beta_P,beta_EP,p_value_E,p_value_P,p_value_EP,alpha,var_intercept,var_residual
39,0.001,0.001,0.001,0.7778952427619474,0.876889269877258,0.251282251263537,0.05,0.001828,0.009419212941440758
40,0.001,0.001,0.001,0.31296154037739976,0.012562145375751182,0.804582232098627,0.05,0.001828,0.009419212941440758
41,0.001,0.001,0.001,0.20302329463473556,0.1674698720576855,0.6075648398973594,0.05,0.001828,0.009419212941440758
42,0.001,0.001,0.001,0.5195121963444649,0.28248903126950786,0.5057608684806658,0.05,0.001828,0.009419212941440758
44,0.001,0.001,0.001,0.28792289005015825,0.007701898019081099,0.8054562747542777,0.05,0.001828,0.009419212941440758
43,0.001,0.001,0.001,0.16328622431815087,0.013346635784493237,0.9775757204777942,0.05,0.001828,0.009419212941440758
45,0.001,0.001,0.001,0.444589056644886,0.028456589213235208,0.630243495837566,0.05,0.001828,0.009419212941440758
46,0.001,0.001,0.001,0.8969630956618437,0.03969611908988734,0.3299989194958812,0.05,0.001828,0.009419212941440758
47,0.001,0.001,0.001,0.15836998818568115,0.042389818561816915,0.7652374968369764,0.05,0.001828,0.009419212941440758
48,0.001,0.001,0.001,0.1786848316173345,0.011064773651228297,0.8096981603646096,0.05,0.001828,0.009419212941440758
49,0.001,0.001,0.001,0.5120026447667765,0.004737621652582671,0.5063159439794755,0.05,0.001828,0.009419212941440758
51,0.001,0.001,0.001,0.40027894839617373,0.8031628325281823,0.08853644560854719,0.05,0.001828,0.009419212941440758
50,0.001,0.001,0.001,0.9002706883454167,0.21436538611178524,0.3420615514742785,0.05,0.001828,0.009419212941440758
53,0.001,0.001,0.001,0.904921034007532,0.41470344529229364,0.25607365391579684,0.05,0.001828,0.009419212941440758
52,0.001,0.001,0.001,0.8154374705219811,0.40003947337000156,0.23322384716830202,0.05,0.001828,0.009419212941440758
56,0.001,0.001,0.001,0.9661612889152608,0.3565698240972489,0.8114361768548886,0.05,0.001828,0.009419212941440758
54,0.001,0.001,0.001,0.8789906097142275,0.384688761906286,0.7342225351015473,0.05,0.001828,0.009419212941440758
55,0.001,0.001,0.001,0.8671009090501753,0.4670794505443203,0.9821991633645828,0.05,0.001828,0.009419212941440758
57,0.001,0.001,0.001,0.5631910149050678,0.9552013323900082,0.39563398185067167,0.05,0.001828,0.009419212941440758
58,0.001,0.001,0.001,0.20594531828526075,0.3598218885801263,0.37444883301606713,0.05,0.001828,0.009419212941440758
59,0.001,0.001,0.001,0.6362874760064221,0.18300202608584515,0.7265930839848823,0.05,0.001828,0.009419212941440758
61,0.001,0.001,0.001,0.6959374522613332,0.4059084347741677,0.02626144462561,0.05,0.001828,0.009419212941440758
63,0.001,0.001,0.001,0.33823211398109365,0.5354338807000889,0.3046115990575725,0.05,0.001828,0.009419212941440758
60,0.001,0.001,0.001,0.22828069606223145,0.04482562634954311,0.5031502108136113,0.05,0.001828,0.009419212941440758
62,0.001,0.001,0.001,0.7556980998826202,0.4088920156445268,0.29068989317091987,0.05,0.001828,0.009419212941440758
