random_state,beta_v,beta_P,beta_vP,p_value_v,p_value_P,p_value_vP,alpha,var_intercept,var_residual
70,0.01,0.01,0.01,0.5710007645469322,0.6027262703303324,0.08681478300127297,0.05,0.001967,0.013305959951221604
71,0.01,0.01,0.01,0.652909424908501,0.27246380583957674,0.13614423650676277,0.05,0.001967,0.013305959951221604
76,0.01,0.01,0.01,0.8268333119715672,0.051933696523368954,0.27871757149188603,0.05,0.001967,0.013305959951221604
72,0.01,0.01,0.01,0.3067731955589016,0.7097711627660954,0.049307443690127156,0.05,0.001967,0.013305959951221604
73,0.01,0.01,0.01,0.2126620921132163,0.5721707856197908,0.024497961665315603,0.05,0.001967,0.013305959951221604
74,0.01,0.01,0.01,0.52834906298557,0.45942837298184214,0.0589919017814913,0.05,0.001967,0.013305959951221604
80,0.01,0.01,0.01,0.5034893522193674,0.5064316586951285,0.05214588087967244,0.05,0.001967,0.013305959951221604
75,0.01,0.01,0.01,9.279134318413687e-05,0.3226945163481697,0.821020686948973,0.05,0.001967,0.013305959951221604
77,0.01,0.01,0.01,0.3679315584417243,0.3327860308932419,0.0897450110596483,0.05,0.001967,0.013305959951221604
78,0.01,0.01,0.01,0.7432074866053635,0.9864025162333322,0.005929192438632875,0.05,0.001967,0.013305959951221604
79,0.01,0.01,0.01,0.821431615978531,0.22399225056995942,0.12803742186668418,0.05,0.001967,0.013305959951221604
81,0.01,0.01,0.01,0.004315045934379291,0.5029345699325658,0.613977728592918,0.05,0.001967,0.013305959951221604
83,0.01,0.01,0.01,0.016856230457320022,0.5435021580765909,0.6410248941954221,0.05,0.001967,0.013305959951221604
82,0.01,0.01,0.01,0.0001323654721848261,0.23571548548969057,0.7550762136557227,0.05,0.001967,0.013305959951221604
84,0.01,0.01,0.01,0.02925293980085799,0.6821921369151445,0.28614396898720607,0.05,0.001967,0.013305959951221604
85,0.01,0.01,0.01,0.004452440351129865,0.43697289572830256,0.9392647389560229,0.05,0.001967,0.013305959951221604
87,0.01,0.01,0.01,0.027380547425251995,0.1556134774475921,0.14719002247811838,0.05,0.001967,0.013305959951221604
86,0.01,0.01,0.01,0.0003654210505667839,0.28873517057689435,0.9129291280322893,0.05,0.001967,0.013305959951221604
88,0.01,0.01,0.01,1.999054104008356e-05,0.4415891292232327,0.9019463744397319,0.05,0.001967,0.013305959951221604
90,0.01,0.01,0.01,0.00013923643690598548,0.06387384335848142,0.3795220779072527,0.05,0.001967,0.013305959951221604
89,0.01,0.01,0.01,0.0005521015690748787,0.7222379698263726,0.7269013961495794,0.05,0.001967,0.013305959951221604
91,0.01,0.01,0.01,0.019618642337361242,0.14072722347832406,0.459660269059166,0.05,0.001967,0.013305959951221604
92,0.01,0.01,0.01,0.01404306369440217,0.05944272296889039,0.456938429960552,0.05,0.001967,0.013305959951221604
95,0.01,0.01,0.01,0.05511773654399223,0.0681790526300849,0.3117186229652684,0.05,0.001967,0.013305959951221604
93,0.01,0.01,0.01,0.08157283932870976,0.07312504415788802,0.38146371972651716,0.05,0.001967,0.013305959951221604
94,0.01,0.01,0.01,0.12001602677949742,0.038219640978446365,0.36367005806617014,0.05,0.001967,0.013305959951221604
96,0.01,0.01,0.01,0.5077973874507902,0.49951614496517327,0.025493237648521357,0.05,0.001967,0.013305959951221604
97,0.01,0.01,0.01,0.09350024251410062,0.1408256939932128,0.40545838458939887,0.05,0.001967,0.013305959951221604
98,0.01,0.01,0.01,0.16521267174550724,0.07809658876513433,0.3711841155876944,0.05,0.001967,0.013305959951221604
99,0.01,0.01,0.01,0.07550091296333106,0.36455597401372675,0.17209073485271276,0.05,0.001967,0.013305959951221604
0,0.015,0.015,0.015,0.06864343551942509,0.004544465888459092,0.4581178537113726,0.05,0.001967,0.013305959951221604
2,0.015,0.015,0.015,0.3889189814402132,0.12803980497351294,0.06402172529065411,0.05,0.001967,0.013305959951221604
1,0.015,0.015,0.015,0.016640889184501847,0.011212800562979765,0.2956781302786071,0.05,0.001967,0.013305959951221604
5,0.015,0.015,0.015,0.10830206679686864,0.08205671170331466,0.08293739985279998,0.05,0.001967,0.013305959951221604
4,0.015,0.015,0.015,0.34259715611993025,0.06751207304683542,0.013935877466548985,0.05,0.001967,0.013305959951221604
3,0.015,0.015,0.015,0.19146657787940857,0.20927108816810025,0.01267661914441554,0.05,0.001967,0.013305959951221604
6,0.015,0.015,0.015,0.9608033523476267,0.07253727601437758,0.03196924160079004,0.05,0.001967,0.013305959951221604
7,0.015,0.015,0.015,0.13344808996940632,0.022914417778776404,0.2086405180672718,0.05,0.001967,0.013305959951221604
8,0.015,0.015,0.015,0.15315065119541926,0.25259383184930495,0.027732780453967782,0.05,0.001967,0.013305959951221604
