random_state,beta_E,beta_P,beta_EP,p_value_E,p_value_P,p_value_EP,alpha,var_intercept,var_residual
145,0.002,0.002,0.002,0.6202643666901364,0.19583215959333689,0.07859213946611072,0.05,0.002526231453446575,0.011919028172987234
147,0.002,0.002,0.002,0.1937830809687916,0.04823654943119894,0.4721068522736346,0.05,0.002526231453446575,0.011919028172987234
146,0.002,0.002,0.002,0.6122658442832905,0.2964376639006999,0.02725882486725358,0.05,0.002526231453446575,0.011919028172987234
148,0.002,0.002,0.002,0.7344433441567484,0.016082104535175997,0.601123702922528,0.05,0.002526231453446575,0.011919028172987234
150,0.002,0.002,0.002,0.3385716815085307,0.45319515866438553,0.07744310959607245,0.05,0.002526231453446575,0.011919028172987234
151,0.002,0.002,0.002,0.15859753189102455,0.2691459876024056,0.7638799214899923,0.05,0.002526231453446575,0.011919028172987234
152,0.002,0.002,0.002,0.69173860825706,0.16674319465316567,0.1244814201700476,0.05,0.002526231453446575,0.011919028172987234
153,0.002,0.002,0.002,0.258045839812412,0.5149588439419973,0.24223295078006968,0.05,0.002526231453446575,0.011919028172987234
156,0.002,0.002,0.002,0.017982437235243023,0.8315088074994741,0.4934122113327317,0.05,0.002526231453446575,0.011919028172987234
154,0.002,0.002,0.002,0.044870647496082446,0.19664711965512194,0.5970671940806702,0.05,0.002526231453446575,0.011919028172987234
149,0.002,0.002,0.002,0.43019469805234745,0.35267585388525724,0.7939913885154137,0.05,0.002526231453446575,0.011919028172987234
155,0.002,0.002,0.002,0.02142065214610596,0.5806635115211649,0.3210609193121837,0.05,0.002526231453446575,0.011919028172987234
157,0.002,0.002,0.002,0.6969547702849948,0.32364761896595995,0.10999746321778325,0.05,0.002526231453446575,0.011919028172987234
158,0.002,0.002,0.002,0.2730533339267953,0.19539774314772618,0.4537672169808712,0.05,0.002526231453446575,0.011919028172987234
159,0.002,0.002,0.002,0.016999046470875523,0.11736305172059273,0.8566198498643285,0.05,0.002526231453446575,0.011919028172987234
161,0.002,0.002,0.002,0.639287520711754,0.48447218173907514,0.028511108943096514,0.05,0.002526231453446575,0.011919028172987234
160,0.002,0.002,0.002,0.008944909264612314,0.40386228652668554,0.6055336766658114,0.05,0.002526231453446575,0.011919028172987234
162,0.002,0.002,0.002,0.016022060780315955,0.048009603883784883,0.6575094257101537,0.05,0.002526231453446575,0.011919028172987234
166,0.002,0.002,0.002,0.0869376994109691,0.7566234067413456,0.28917079514409094,0.05,0.002526231453446575,0.011919028172987234
165,0.002,0.002,0.002,0.17344921607708153,0.29356809201624523,0.5653998169825881,0.05,0.002526231453446575,0.011919028172987234
163,0.002,0.002,0.002,0.836215465640506,0.6435524702391736,0.016130421345707937,0.05,0.002526231453446575,0.011919028172987234
164,0.002,0.002,0.002,0.023455672723899937,0.25158041899307415,0.646491352218855,0.05,0.002526231453446575,0.011919028172987234
167,0.002,0.002,0.002,0.436175498687444,0.2719957863477501,0.2859904439473494,0.05,0.002526231453446575,0.011919028172987234
168,0.002,0.002,0.002,0.09021251997233885,0.20290202875979357,0.1940425871711401,0.05,0.002526231453446575,0.011919028172987234
169,0.002,0.002,0.002,0.5834645073150688,0.10022423876935803,0.8733561917169684,0.05,0.002526231453446575,0.011919028172987234
170,0.002,0.002,0.002,0.40957907038478225,0.36132760248167906,0.5049060453479527,0.05,0.002526231453446575,0.011919028172987234
171,0.002,0.002,0.002,0.23844133426175507,0.13019652542957644,0.7720284792120637,0.05,0.002526231453446575,0.011919028172987234
172,0.002,0.002,0.002,0.07065015871859093,0.5303398599698925,0.9441121087368296,0.05,0.002526231453446575,0.011919028172987234
174,0.002,0.002,0.002,0.20032859488821742,0.3453416053198707,0.19397843640255796,0.05,0.002526231453446575,0.011919028172987234
173,0.002,0.002,0.002,0.3464173245705582,0.1328656592446052,0.8988646253572796,0.05,0.002526231453446575,0.011919028172987234
176,0.002,0.002,0.002,0.11803458956136678,0.09553907427096348,0.6187938533327576,0.05,0.002526231453446575,0.011919028172987234
175,0.002,0.002,0.002,0.13798256198923242,0.4322689340043152,0.524100647068668,0.05,0.002526231453446575,0.011919028172987234
177,0.002,0.002,0.002,0.1375383404012531,0.26352180652069535,0.9513058970533796,0.05,0.002526231453446575,0.011919028172987234
178,0.002,0.002,0.002,0.37069743006532885,0.016573019284811818,0.7638544677382135,0.05,0.002526231453446575,0.011919028172987234
179,0.002,0.002,0.002,0.0839998336768241,0.21539183317500787,0.6998171905152256,0.05,0.002526231453446575,0.011919028172987234
