author_id,handle,N_tweets,created_at,followers_count,following_count,tweet_count,NG_unreliable_share,NG_score_mean
31013444,ayannapressley,1317,2009-04-14 01:06:07+00:00,1050255,17886,29179,0.03225806451612903,91.48924731182795
3106053616,realjeffzink,191,2015-03-22 22:29:52+00:00,2299,1879,1919,0.0,77.16666666666667
3109108467,donjbacon,3173,2015-03-24 01:23:30+00:00,9946,934,12865,0.08633093525179857,87.43525179856115
31191969,austinscott4ga,4,2009-04-14 18:44:35+00:00,2768,644,746,1.0,57.0
3122099613,donaldnorcross,1443,2015-03-27 20:08:34+00:00,13651,1356,11611,0.0038910505836575876,96.32879377431907
313719282,bradwenstrup,108,2011-06-09 03:16:15+00:00,4267,1323,2107,0.2857142857142857,75.89285714285714
314223728,mikesimpson4id,125,2011-06-09 22:26:12+00:00,2171,365,775,0.5,77.25
3145735852,cortezmasto,1273,2015-04-07 22:20:02+00:00,63159,815,3629,0.14432989690721648,88.11855670103093
31611298,jahimes,687,2009-04-16 02:38:33+00:00,109684,425,13224,0.047619047619047616,88.21428571428571
316165422,marktakano,19,2011-06-13 01:36:11+00:00,5616,242,471,,
3166120541,maxinewaters,2,2015-04-14 15:17:01+00:00,38735,514,1664,,
3170031728,brianmastfl,923,2015-04-24 05:54:35+00:00,34442,2618,2961,0.3953488372093023,70.55232558139535
317386234,davidkustoff,202,2011-06-14 21:20:06+00:00,2134,2185,674,0.2,90.4
319413563,lisanoelbabbage,63,2011-06-18 02:32:41+00:00,722,223,2717,0.3333333333333333,64.5
319829219,bobbyscott4va3,66,2011-06-18 20:29:30+00:00,4008,455,3102,0.0,96.25
3217310346,burnettforco3,42,2015-05-17 22:17:38+00:00,28087,2393,991,,
3219928396,mh4oh,803,2015-04-29 01:59:28+00:00,28334,3592,3495,0.0,95.95238095238095
3225647515,lorenculp,1953,2015-05-24 20:46:23+00:00,33443,18208,4119,0.2641509433962264,66.53301886792453
32289500,stephaniebice,328,2009-04-17 03:37:47+00:00,12115,1973,4089,0.1,82.95
32314377,tonyvargas,715,2009-04-17 05:00:46+00:00,12690,5761,4925,0.0,96.14035087719299
3231657095,anthonysabatini,2410,2015-05-03 20:15:19+00:00,170442,2992,9024,0.35,72.1
323440720,castro4congress,78,2011-06-24 20:49:05+00:00,61285,1576,11662,0.3333333333333333,77.33333333333333
32370875,tedengquist,99,2009-04-17 11:25:55+00:00,151,429,1087,,
3237898542,carbajalsalud,72,2015-06-06 14:16:17+00:00,2812,726,594,0.0,98.39285714285714
324625413,devanbarbour,116,2011-06-26 23:30:59+00:00,957,901,3129,,
327625079,repalgreentx,1,2011-07-01 21:38:28+00:00,1716,262,229,,
32802230,dougbasler,10,2009-04-18 05:26:15+00:00,202,121,904,1.0,57.0
328679423,tammyduckworth,567,2011-07-03 20:43:44+00:00,84306,3122,4769,0.015151515151515152,93.43181818181819
3293413756,votelacy,158,2015-05-21 21:15:41+00:00,803,306,401,0.0,97.5
3298708805,booker4ky,2236,2015-05-26 02:20:51+00:00,429937,2039,17584,0.0,97.0
3299813970,smileyforwa,908,2015-07-28 20:41:43+00:00,36820,1803,5004,0.09815950920245399,89.54294478527608
3299995136,sherifftnehls,460,2015-07-29 00:35:59+00:00,23606,1203,3050,0.38461538461538464,73.23076923076923
3319452519,ronan4progress,76,2015-06-11 19:33:11+00:00,8209,3613,16101,0.0,100.0
333863815,ncartwrightar,533,2011-07-12 06:08:51+00:00,3115,1813,2342,0.0,94.03846153846153
